WB_country_code,WB_country_name,Latitude,Longitude
AFG,Afghanistan,34.52,69.18
ALB,Albania,41.32,19.82
DZA,Algeria,36.75,3.05
AND,Andorra,42.5,1.52
AGO,Angola,-8.83,13.22
ATG,Anguilla,18.22,-63.05
ATG,Antigua and Barbuda,17.12,-61.85
ARG,Argentina,-34.58,-58.67
ARM,Armenia,40.17,44.5
ABW,Aruba,12.52,-70.03
AUS,Australia,-35.27,149.13
AUT,Austria,48.2,16.37
AZE,Azerbaijan,40.38,49.87
BHS,Bahamas,25.08,-77.35
BHR,Bahrain,26.23,50.57
BGD,Bangladesh,23.72,90.4
BRB,Barbados,13.1,-59.62
BLR,Belarus,53.9,27.57
BEL,Belgium,50.83,4.33
BLZ,Belize,17.25,-88.77
BEN,Benin,6.48,2.62
BMU,Bermuda,32.28,-64.78
BTN,Bhutan,27.47,89.63
BOL,Bolivia,-16.5,-68.15
BIH,Bosnia and Herzegovina,43.87,18.42
BWA,Botswana,-24.63,25.9
BRA,Brazil,-15.78,-47.92
VGB,British Virgin Islands,18.42,-64.62
BRN,Brunei,4.88,114.93
BGR,Bulgaria,42.68,23.32
BFA,Burkina Faso,12.37,-1.52
BDI,Burundi,-3.37,29.35
KHM,Cambodia,11.55,104.92
CMR,Cameroon,3.87,11.52
CAN,Canada,45.42,-75.7
CPV,Cape Verde,14.92,-23.52
CYM,Cayman Islands,19.3,-81.38
CAF,Central African Republic,4.37,18.58
TCD,Chad,12.1,15.03
CHL,Chile,-33.45,-70.67
CHN,China,39.92,116.38
COL,Colombia,4.6,-74.08
COM,Comoros,-11.7,43.23
COG,Congo,-4.25,15.28
CRI,Costa Rica,9.93,-84.08
CIV,Côte d'Ivoire,6.82,-5.27
HRV,Croatia,45.8,16.0
CUB,Cuba,23.12,-82.35
CUW,Curacao,12.1,-68.92
CYP,Cyprus,35.17,33.37
CZE,Czech Republic,49.81,15.47
COD,Democratic Republic of Congo,-4.32,15.3
DNK,Denmark,55.67,12.58
DJI,Djibouti,11.58,43.15
DMA,Dominica,15.3,-61.4
DOM,Dominican Republic,18.47,-69.9
ECU,Ecuador,-0.22,-78.5
EGY,Egypt,30.05,31.25
SLV,El Salvador,13.7,-89.2
GNQ,Equatorial Guinea,3.75,8.78
ERI,Eritrea,15.33,38.93
EST,Estonia,59.43,24.72
ETH,Ethiopia,9.03,38.7
FRO,Faeroe Islands,62.0,-6.77
FJI,Fiji,-18.13,178.42
FIN,Finland,60.17,24.93
FRA,France,48.87,2.33
PYF,French Polynesia,-17.53,-149.57
GAB,Gabon,0.38,9.45
GMB,Gambia,13.45,-16.57
GEO,Georgia,41.68,44.83
DEU,Germany,52.52,13.4
GHA,Ghana,5.55,-0.22
GBR,Great Britain,54.08,-1.65
GRC,Greece,37.98,23.73
GRL,Greenland,64.18,-51.75
GRD,Grenada,12.05,-61.75
GUM,Guam,13.47,144.73
GTM,Guatemala,14.62,-90.52
GNQ,Guinea,9.5,-13.7
GNB,Guinea-Bissau,11.85,-15.58
GUY,Guyana,6.8,-58.15
HTI,Haiti,18.53,-72.33
HND,Honduras,14.1,-87.22
HKG,Hong Kong,22.4,114.11
HUN,Hungary,47.5,19.08
ISL,Iceland,64.15,-21.95
IND,India,28.6,77.2
IDN,Indonesia,-6.17,106.82
IRN,Iran,35.7,51.42
IRQ,Iraq,33.33,44.4
IRL,Ireland,53.32,-6.23
ISR,Israel,31.77,35.23
ITA,Italy,41.9,12.48
JAM,Jamaica,18.0,-76.8
JPN,Japan,35.68,139.75
JOR,Jordan,31.95,35.93
KAZ,Kazakhstan,51.17,71.42
KEN,Kenya,-1.28,36.82
KIR,Kiribati,-0.88,169.53
XKX,Kosovo,42.67,21.17
KWT,Kuwait,29.37,47.97
KGZ,Kyrgyzstan,42.87,74.6
LAO,Laos,17.97,102.6
LVA,Latvia,56.95,24.1
LBN,Lebanon,33.87,35.5
LSO,Lesotho,-29.32,27.48
LBR,Liberia,6.3,-10.8
LBY,Libya,32.88,13.17
LIE,Liechtenstein,47.13,9.52
LTU,Lithuania,54.68,25.32
LUX,Luxembourg,49.6,6.12
MDG,Madagascar,-18.92,47.52
MWI,Malawi,-13.97,33.78
MYS,Malaysia,3.17,101.7
MDV,Maldives,4.17,73.5
MLI,Mali,12.65,-8.0
MLT,Malta,35.88,14.5
MHL,Marshall Islands,7.1,171.38
MRT,Mauritania,18.07,-15.97
MUS,Mauritius,-20.15,57.48
MEX,Mexico,19.43,-99.13
MDA,Moldova,47.0,28.85
MNG,Mongolia,47.92,106.92
MNE,Montenegro,42.43,19.27
MAR,Morocco,34.02,-6.82
MOZ,Mozambique,-25.95,32.58
MMR,Myanmar,16.8,96.15
NAM,Namibia,-22.57,17.08
NRU,Nauru,-0.55,166.92
NPL,Nepal,27.72,85.32
NLD,Netherlands,52.35,4.92
NCL,New Caledonia,-22.27,166.45
NZL,New Zealand,-41.3,174.78
NIC,Nicaragua,12.13,-86.25
NER,Niger,13.52,2.12
NGA,Nigeria,9.08,7.53
MKD,North Macedonia,41.60,21.74
PRK,North Korea,39.02,125.75
MNP,Northern Mariana Islands,15.2,145.75
NOR,Norway,59.92,10.75
OMN,Oman,23.62,58.58
PAK,Pakistan,33.68,73.05
PLW,Palau,7.48,134.63
PAN,Panama,8.97,-79.53
PNG,Papua New Guinea,-9.45,147.18
PRY,Paraguay,-25.27,-57.67
PER,Peru,-12.05,-77.05
PHL,Philippines,14.6,120.97
POL,Poland,52.25,21.0
PRT,Portugal,38.72,-9.13
PRI,Puerto Rico,18.47,-66.12
QAT,Qatar,25.28,51.53
ROU,Romania,44.43,26.1
RUS,Russia,55.75,37.6
RWA,Rwanda,-1.95,30.05
KNA,Saint Kitts and Nevis,17.3,-62.72
LCA,Saint Lucia,14.0,-61.0
VCT,Saint Vincent and the Grenadines,13.13,-61.22
WSM,Samoa,-13.82,-171.77
SMR,San Marino,43.93,12.42
SAU,Saudi Arabia,24.65,46.7
SEN,Senegal,14.73,-17.63
SRB,Serbia,44.83,20.5
SYC,Seychelles,-4.62,55.45
SLE,Sierra Leone,8.48,-13.23
SGP,Singapore,1.28,103.85
SXM,Sint Maarten (Dutch part),18.02,-63.03
SVK,Slovakia,48.15,17.12
SVN,Slovenia,46.05,14.52
SLB,Solomon Islands,-9.43,159.95
SOM,Somalia,2.07,45.33
ZAF,South Africa,-25.7,28.22
KOR,South Korea,37.55,126.98
SSD,South Sudan,4.85,31.62
ESP,Spain,40.4,-3.68
LKA,Sri Lanka,6.92,79.83
SDN,Sudan,15.6,32.53
SUR,Suriname,5.83,-55.17
SWE,Sweden,59.33,18.05
CHE,Switzerland,46.92,7.47
SYR,Syria,33.5,36.3
TJK,Tajikistan,38.55,68.77
TZA,Tanzania,-6.8,39.28
THA,Thailand,13.75,100.52
TLS,Timor,-8.58,125.6
TGO,Togo,6.12,1.22
TON,Tonga,-21.13,-175.2
TTO,Trinidad and Tobago,10.65,-61.52
TUN,Tunisia,36.8,10.18
TUR,Turkey,39.93,32.87
TKM,Turkmenistan,37.95,58.38
TCA,Turks and Caicos Islands,21.47,-71.13
