WB_country_name,WB_country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afganistán,AFG,537777811.11,548888895.56,546666677.78,751111191.11,800000044.44,1006666637.78,1399999966.67,1673333417.78,1373333366.67,1408888922.22,1748886595.56,1831108971.11,1595555475.56,1733333264.44,2155555497.78,2366666615.56,2555555566.67,2953333417.78,3300000108.89,3697940409.61,3641723322.0,3478787909.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825701405.52,4520946849.32,5224896718.68,6203256497.09,6971758332.89,9747886104.53,10109296957.66,12416152648.06,15856668496.39,17805098367.3,19907329905.98,20146416876.39,20497128600.34,19134221744.53,18116572399.13,18753456506.57,18053222734.89,18799444414.6,19955929060.84,14266499429.87,0.0
Emiratos Árabes Unidos,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14720728248.54,19213158778.79,24871775164.6,23775764224.68,31225659621.0,43599160050.33,49333424135.11,46622718605.28,42803323345.14,41807954235.9,40603650231.54,33943612094.8,36384908744.21,36275674203.21,41464995913.92,50701443748.3,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617467964.6,222116541865.21,257916133424.1,315474615738.6,253547358747.45,300189052694.03,360832739558.39,384610125384.03,400218529747.6,414105366758.91,370275469560.17,369255326235.77,390516804016.5,427049432149.35,417989721734.49,349473015336.94,415178792769.88,507063968273.31
Argentina,ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109490000000.0,112988571428.57,88416666666.67,106213829787.23,109029439252.34,126928000000.0,76629657863.66,141352654305.16,189719984268.49,228778917308.17,236741715015.02,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530158122010.44,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557532320662.96,643628393281.36,524819892360.18,447754683615.23,385740508436.97,487902572164.35,631133384439.94
Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256863448.77,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.2,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.4,2807061008.69,3576615240.42,4900469511.1,6384452066.51,9206301269.79,11662040713.88,8647937081.26,9260285755.62,10142111824.58,10619320682.95,11121464437.04,11609513246.8,10553337518.41,10546136235.52,11527458709.02,12457940694.74,13619290539.21,12641698583.22,13878908628.94,19513474648.24
Australia,AUS,18606562977.05,19682883149.26,19922563187.61,21539843446.38,23801123808.18,25976164156.19,27307844369.26,30442724870.84,32714085234.25,36683365869.34,41333606613.38,45216647234.66,52040887850.47,63830877642.54,88963890935.89,97303017888.84,105059356494.43,110349850883.23,118491633469.73,134898330114.73,149985515320.33,176893068617.21,194038397881.5,177265418961.89,193518998163.4,180637129503.85,182475517627.31,189487162519.85,236154038684.29,299871835376.04,311420509067.63,325966686052.58,325518458076.53,312128302417.09,322802490487.72,368166023166.02,401341880620.73,435642611296.59,399674421759.48,389652212056.65,416167815092.91,379629301675.11,395788696012.06,467739079790.33,614659980082.52,695692898676.56,748417562769.64,855007458585.22,1056112427190.38,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817.0,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7
Austria,AUT,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.1,11579431668.92,12440625312.87,13582798556.24,15373005557.03,17858486066.75,22059612476.93,29515467706.8,35189299911.66,40059206763.06,42959976221.52,51545758887.69,62052259073.25,73937296963.46,82058912997.23,71034228443.06,71275287569.57,72121016546.65,67985344886.87,69386774408.09,99036164939.16,124168442533.74,133339397080.13,133105805512.22,166463386179.35,173794177961.11,195078126721.76,190379720809.18,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217259147049.95,197289625479.91,197508773215.32,214394866675.24,262273631180.05,301457562038.54,316092273276.02,336280064332.41,389185571506.05,432051935642.95,401758735822.21,392275107258.67,431685217367.51,409401816050.53,430190979705.96,442584815286.03,381971148530.54,395837353031.5,417261151844.98,454991174096.1,444596155845.25,435049316955.74,479295362747.05,470941926750.74
Azerbaiyán,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8884848484.85,5344000000.0,444658671.59,1570392598.15,1193141110.35,2417331192.95,3176507376.32,3962362387.48,4446368570.69,4581248566.5,5272615722.97,5707616203.72,6236087738.28,7276413079.11,8680405740.94,13245421880.83,20981929497.62,33049419431.22,48851293785.45,44292427184.95,52909294791.93,65952796427.95,69679944504.2,74160560123.69,75239785452.1,53076235354.75,37866996882.92,40866627351.98,47112470051.77,48174235294.12,42693000000.0,54825411764.71,78721058823.53
Burundi,BDI,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.96,165444571.43,178297142.86,183200000.0,190205714.29,242732571.43,252842285.71,246804571.43,304339839.55,345263492.06,420986666.67,448412753.62,547535555.56,610225555.56,782496666.67,919726666.67,969046666.67,1013222222.22,1082926304.46,987143931.17,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.6,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770740.21,808077223.37,870486065.88,876794723.07,825394519.42,784654423.62,915257323.4,1117113079.74,1273375078.45,1356199387.42,1611835857.05,1781455139.86,2032135192.01,2235820809.32,2333341334.46,2451606632.29,2705783329.8,3104003546.26,2644487776.5,2723586962.84,2667182199.51,2576518879.82,2649680261.44,2775798697.47,3338722827.66
Bélgica,BEL,11658722590.99,12400145221.6,13264015675.32,14260017387.05,15960106680.67,17371457607.94,18651883472.48,19992040788.46,21376353113.48,23710735894.7,26706196046.79,29821661869.91,37209418018.51,47743801490.37,56033077879.04,65678189097.29,71113882967.61,82839905458.64,101246526194.44,116315456796.92,126829314388.19,104730018470.23,92095926187.53,87184239053.25,83349530159.17,86268264148.38,120018787249.41,149394404105.89,162299103675.26,164221056511.06,205331747947.85,210510999409.33,234781652446.68,224721795708.96,244884129491.2,288025588396.28,279201433224.76,252708051420.84,258528339631.03,258245733221.47,236792460312.47,236746141604.37,258383599375.18,318082528506.59,369214712443.21,385714762230.04,408259840868.82,470922156309.45,517328087920.08,483254171097.81,481420882905.0,523330354138.13,496152879924.73,521791015247.06,535390200131.02,462335574841.48,476062757356.93,502764720556.35,543299066998.9,535865804349.8,526264230147.39,600748812601.54,583435595579.96
Burkina Faso,BFA,330442815.82,350247234.26,379567099.25,394040667.11,410321644.96,422916789.75,433889766.24,450753923.55,460442689.38,478298645.39,458404268.76,482411179.12,578595521.99,674773569.88,751133430.45,939972703.46,976547188.05,1131224878.19,1475583644.94,1748480620.52,1928719888.21,1775842333.57,1754450096.24,1600278605.25,1459880132.14,1552493196.28,2036303357.68,2369834949.73,2616040478.99,2615587733.97,3101300778.56,3135045584.08,3356692505.18,3199536465.23,1895290637.1,2379517975.28,2586550595.41,2447669101.95,2804902367.15,3389566712.66,2968370087.6,3190371080.95,3622350062.96,4740768142.67,5451688537.61,6146353173.35,6547419820.38,7625722836.77,9451435490.11,9450696873.34,10109619740.7,12080295977.56,12561015156.57,13444300485.84,13943016076.74,11832159315.63,12833363045.34,14106955615.34,15890066221.29,16032813501.66,17725010530.79,19642668879.77,18820064797.84
