WB_country_name,WB_country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afganistán,AFG,62.37,62.44,60.95,82.02,85.51,105.24,143.1,167.17,134.01,134.25,162.64,166.22,141.37,149.74,181.6,194.67,205.67,232.78,255.05,284.76,291.65,311.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.17,199.64,221.83,254.12,274.02,376.32,382.53,453.39,562.5,608.74,653.42,638.73,626.51,566.88,523.05,526.14,492.09,497.74,512.06,355.78,0.0
Emiratos Árabes Unidos,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27090.34,31282.77,35186.23,29526.64,34372.38,42995.16,44841.23,39921.63,34586.53,31955.18,29432.83,23111.38,23088.2,21545.46,23141.01,26682.85,25668.49,25630.08,25019.37,25463.5,27010.68,28596.51,28709.25,25905.84,27261.91,31855.5,29909.01,30221.97,32607.37,37017.74,42190.55,45339.59,43918.38,45140.77,31722.59,35392.26,42078.61,44386.79,45729.61,46865.96,41525.14,41054.54,43063.97,46722.27,45376.17,37629.17,44332.34,53707.98
Argentina,ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3727.05,3787.47,2919.28,3454.3,3492.69,4005.2,2382.34,4330.97,5730.72,6815.33,6957.42,7464.47,7383.7,7690.16,8176.77,8250.67,7735.32,7666.52,7168.98,2579.49,3333.15,4258.16,5086.63,5890.98,7210.6,8977.51,8184.39,10385.96,12848.74,13082.66,13080.25,12334.8,13789.06,12790.26,14613.04,11795.16,9963.67,8500.84,10650.86,13650.6
Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.57,572.16,356.08,347.47,389.83,441.89,484.09,501.16,584.38,575.63,603.3,676.15,765.32,910.17,1166.64,1608.16,2109.53,3064.28,3908.95,2917.37,3143.03,3462.68,3643.72,3833.16,4017.23,3666.14,3679.95,4042.0,4391.92,4828.5,4505.87,4972.78,7018.05
Australia,AUS,1810.6,1877.6,1854.64,1967.11,2131.38,2281.01,2343.82,2580.11,2724.13,2991.39,3304.84,3495.14,3949.37,4770.62,6482.83,7003.74,7486.59,7775.5,8252.66,9294.36,10208.65,11853.51,12778.93,11515.62,12421.47,11441.19,11391.66,11650.8,14284.52,17834.21,18248.94,18859.41,18623.79,17699.56,18129.4,20448.12,22021.78,23646.62,21479.11,20712.67,21870.42,19695.73,20301.84,23718.13,30836.73,34479.77,36595.71,41051.61,49701.28,42816.57,52147.02,62609.66,68078.04,68198.42,62558.24,56758.87,49918.79,53954.55,57273.52,55049.57,51868.25,60697.25,65099.85
Austria,AUT,935.46,1031.82,1087.83,1167.0,1269.41,1374.53,1486.97,1569.67,1677.67,1825.39,2058.77,2380.98,2924.05,3890.72,4630.76,5285.62,5678.39,6810.63,8205.47,9793.77,10869.55,9385.25,9410.35,9537.41,8991.07,9172.1,13083.07,16392.77,17578.62,17468.95,21680.99,22410.91,24880.16,24081.53,25646.7,30325.85,29809.08,26705.48,27361.88,27183.48,24625.6,24558.76,26527.59,32294.05,36889.23,38417.46,40669.33,46915.34,51919.98,48153.32,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51466.56,50067.59,48789.5,53517.89,52084.68
Azerbaiyán,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.27,734.94,60.24,209.53,157.06,314.56,409.19,505.52,561.91,573.89,655.1,703.67,763.11,883.69,1045.01,1578.37,2472.96,3851.33,5574.47,4950.4,5843.53,7189.82,7495.87,7875.35,7890.84,5500.5,3880.69,4147.2,4739.79,4805.75,4229.91,5408.05,7762.07
Burundi,BDI,71.36,72.09,73.94,78.95,85.96,50.99,51.81,54.45,54.65,55.54,69.4,70.59,68.96,85.21,94.33,112.29,117.05,139.41,151.07,189.13,213.25,215.79,220.16,229.12,203.86,232.41,238.36,219.37,205.32,207.29,206.44,208.66,188.58,168.96,165.59,168.63,146.54,164.23,148.09,130.75,138.0,135.61,124.14,114.37,128.54,151.19,166.28,170.71,194.71,204.54,222.66,236.45,238.21,241.55,257.82,289.36,242.54,244.15,232.06,216.97,216.83,221.16,259.03
Bélgica,BEL,1273.69,1350.2,1438.52,1535.02,1701.85,1835.59,1957.63,2086.64,2222.36,2458.08,2765.89,3082.93,3831.63,4900.96,5733.8,6701.38,7243.05,8426.95,10289.77,11810.62,12864.0,10622.8,9343.86,8846.23,8457.27,8750.82,12170.04,15135.85,16391.09,16525.06,20600.38,21041.66,23372.62,22283.94,24208.55,28413.83,27489.56,24820.94,25338.44,25252.8,23098.89,23015.07,25006.19,30655.21,35429.41,36809.7,38705.11,44319.17,48303.4,44760.29,44184.95,47410.57,44670.56,46757.95,47764.07,41008.3,42012.62,44198.48,47544.98,46641.72,45609.0,51850.4,49926.83
Burkina Faso,BFA,69.08,72.17,77.08,78.83,80.83,81.99,82.76,84.56,84.92,86.72,81.69,84.52,99.67,114.22,124.81,153.13,155.75,176.3,224.33,259.04,278.2,249.29,239.62,212.49,188.34,194.57,248.09,280.95,301.95,294.04,339.63,334.76,349.71,325.15,187.82,229.83,243.53,224.61,250.41,293.89,249.8,260.44,286.75,363.82,405.45,442.94,457.34,516.75,621.89,603.88,627.27,727.61,733.97,762.3,767.37,632.13,665.79,711.18,779.2,765.23,823.55,888.78,830.04
Bulgaria,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.8,2234.81,2169.0,1852.81,1963.57,1914.55,2260.43,3132.3,2511.39,2477.02,2366.53,1267.73,1211.98,1278.53,1148.49,2259.26,1470.19,1361.41,1820.45,1659.72,1621.26,1770.91,2092.98,2719.49,3389.69,3899.83,4523.15,5888.78,7271.3,6988.27,6863.67,7857.17,7430.74,7687.71,7912.27,7078.86,7570.93,8381.88,9447.66,9874.34,10148.34,12219.34,13974.45
Bahrein,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8474.19,9187.98,9323.75,9227.68,9316.38,8407.16,6780.14,7270.2,7660.07,7721.74,8174.8,8621.77,8568.66,9063.57,9384.77,9543.39,9643.31,9728.45,9195.43,9566.1,12738.77,12291.83,12820.0,14230.3,15777.96,17705.24,19057.8,20883.55,23155.82,19448.18,21186.81,23741.56,25102.73,25790.73,25464.76,22795.45,22867.18,24349.91,25415.85,25869.11,23433.19,26850.0,30146.93
Bahamas,BHS,1483.0,1581.3,1680.49,1792.42,1921.44,2073.83,2246.85,2466.52,2688.94,3057.32,3005.78,3108.95,3123.46,3466.05,3197.7,2953.22,3115.54,3386.63,3871.34,5194.46,5967.77,6257.79,6797.83,7324.19,8463.46,9436.23,9858.3,10617.41,10819.27,11533.26,11696.51,11269.95,11025.88,10730.0,11085.15,11447.02,11835.39,20415.71,21665.39,23991.7,24849.61,25234.14,26590.14,26204.88,26393.41,28280.87,28829.85,29687.87,29013.63,27120.69,27046.66,26644.93,28059.39,26955.79,28203.36,29724.95,29675.54,30708.99,31483.98,32279.01,23998.27,28260.43,31458.3
Belarús,BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.51,1603.34,1462.03,1370.48,1452.51,1396.66,1511.26,1210.59,1276.28,1244.37,1479.38,1819.53,2378.34,3126.07,3848.22,4735.48,6376.18,5352.49,6034.68,6527.66,6953.22,7998.08,8341.29,5967.07,5039.78,5785.53,6360.05,6837.77,6542.86,7489.72,7888.26
Bermudas,BMU,1902.4,1961.54,2020.39,2020.27,2199.73,2282.22,2630.85,2982.75,2830.19,3053.7,3387.27,3866.3,4343.17,5009.29,5853.93,6509.43,7261.28,8370.79,8876.87,9613.38,11218.22,13425.98,14166.17,15902.02,17469.83,18269.54,20450.66,22411.8,24253.18,25517.92,26841.52,27700.31,28669.68,30900.69,31476.06,33989.72,44826.79,48478.88,51371.74,54245.46,56284.17,58883.96,62583.1,66111.73,70359.32,75882.03,95221.86,104287.39,106935.49,101407.76,101875.28,97774.16,98431.87,99471.64,98467.68,102005.63,106885.88,111820.58,113050.74,116153.17,107791.89,111774.67,118774.79
Brasil,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.58,3065.24,2656.5,2505.38,2766.35,3393.14,4704.96,5121.91,5240.13,5049.76,3456.42,3726.81,3142.24,2824.72,3056.65,3623.22,4773.27,5866.02,7323.19,8801.76,8569.9,11249.29,13200.56,12327.51,12258.57,12071.4,8783.22,8680.74,9896.72,9121.02,8845.32,6923.7,7696.78,8917.67
Barbados,BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.29,1627.66,1755.17,1983.06,2202.64,2656.65,3992.04,4374.85,4552.94,4818.68,5235.13,5465.2,5990.46,6589.38,7005.5,7753.03,7772.81,7789.39,7520.79,7905.68,8220.28,8451.96,8994.32,9491.48,10685.26,11173.95,11560.25,11510.04,11658.63,11998.18,12828.44,14173.75,15595.64,17219.02,17551.86,16309.89,16494.24,16902.49,16704.92,16923.59,16964.75,17023.69,17381.37,17881.56,18271.25,19063.1,16882.5,17507.47,20238.78
Botswana,BWA,59.3,62.74,66.45,69.38,74.01,80.19,89.53,101.33,113.7,131.85,162.51,210.96,262.47,371.43,442.54,487.92,485.4,559.66,695.09,917.59,1130.32,1092.66,992.12,1105.13,1128.87,978.99,1180.91,1610.37,2096.74,2369.13,2825.72,2855.95,2918.62,2845.0,2832.81,3064.59,3063.99,3100.17,2893.33,3242.14,3351.7,3115.68,3029.79,4111.74,4818.21,5240.32,5142.91,5372.34,5345.85,4938.25,6041.73,7080.78,6392.99,6436.6,6844.03,5869.74,6411.55,6705.34,6947.82,6691.16,5875.07,7238.8,7738.88
Canadá,CAN,2259.25,2240.43,2268.59,2374.5,2555.11,2770.36,3047.11,3217.16,3462.68,3763.95,4135.82,4535.39,5106.74,5858.33,7056.71,7536.52,8838.95,8949.11,9154.43,10077.5,11208.2,12379.04,12527.31,13477.1,13930.47,14170.12,14521.18,16377.69,19012.57,20794.68,21525.86,21846.79,20950.33,20186.8,19997.62,20679.63,21296.97,21901.56,21024.59,22315.25,24271.0,23822.06,24255.34,28300.46,32143.68,36382.51,40504.06,44659.9,46710.51,40876.31,47562.08,52223.7,52669.09,52635.17,50956.0,43596.14,42315.6,45129.43,46548.64,46374.15,43562.44,52515.2,55522.45
Suiza,CHE,1787.36,1971.32,2131.39,2294.18,2501.29,2620.48,2784.73,2960.72,3121.89,3344.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19393.88,17665.01,17999.97,17859.23,16991.25,17152.09,24459.85,30440.51,32690.43,31308.65,39574.54,39544.49,40713.69,39237.12,43091.78,50113.83,48092.64,41584.44,42680.59,41695.69,38865.02,39638.79,42458.74,49335.75,54659.46,56242.89,59011.03,64989.16,74175.19,71568.31,76531.37,90476.76,85836.21,87304.33,88724.99,83806.45,82153.07,82254.38,85217.37,84121.93,85897.78,93446.43,93259.91
Chile,CHL,504.8,580.89,663.59,645.95,675.83,679.12,781.81,756.73,757.74,865.71,931.13,1089.31,1166.39,1632.39,1547.8,716.34,956.85,1273.09,1435.84,1929.01,2531.57,2965.37,1653.99,1700.16,1619.37,1437.38,1510.02,1750.26,2015.93,2280.27,2483.56,2790.62,3333.96,3520.93,4010.97,5094.39,5376.77,5789.71,5467.19,4980.01,5102.97,4610.59,4477.19,4823.26,6185.3,7560.54,9418.27,10456.83,10797.05,10204.56,12764.59,14637.76,15397.78,15842.16,14675.15,13567.36,13788.24,15034.06,15820.03,14632.69,13173.78,16240.61,15355.48
China,CHN,89.52,75.81,70.91,74.31,85.5,98.49,104.32,96.59,91.47,100.13,113.16,118.65,131.89,157.09,160.15,178.34,165.4,185.42,228.52,272.15,312.02,291.36,281.5,297.81,302.59,294.79,281.7,301.73,370.22,407.89,347.58,359.21,423.3,525.37,473.49,609.6,709.42,781.74,828.59,873.3,959.36,1053.11,1148.51,1288.64,1508.67,1753.41,2099.22,2693.96,3468.33,3832.23,4550.47,5614.39,6300.58,7020.39,7636.07,8016.45,8094.39,8817.05,9905.41,10143.86,10408.72,12617.51,12720.22
Côte d'Ivoire,CIV,147.28,160.65,161.39,183.1,213.14,204.72,219.24,222.98,253.71,259.05,265.74,277.0,309.27,400.87,468.8,568.11,652.7,844.82,1025.93,1143.39,1225.42,978.07,845.66,736.71,711.09,700.28,888.34,946.0,928.64,851.21,906.41,848.28,868.73,829.48,602.33,769.26,1220.12,1176.85,1237.13,1154.48,986.78,974.78,1020.95,1173.06,1267.76,1267.09,1303.56,1451.23,1683.34,1638.8,1654.18,1701.7,1649.3,1903.05,2124.02,1941.58,1999.2,2113.34,2295.54,2290.79,2349.07,2613.38,2486.41
Camerún,CMR,120.02,125.53,130.9,132.35,139.78,143.07,146.0,156.68,170.75,175.07,178.41,186.64,220.02,271.68,299.86,386.22,381.43,435.39,581.89,718.03,783.41,748.77,730.77,743.47,768.98,871.54,1172.49,1250.7,1137.23,993.09,1077.33,1005.3,995.31,1295.92,692.86,822.36,817.18,773.93,789.27,786.85,700.16,706.98,780.27,976.52,1119.98,1129.36,1177.97,1311.0,1476.01,1445.86,1383.81,1497.93,1433.72,1559.14,1631.71,1399.68,1426.07,1479.86,1594.06,1538.69,1539.13,1654.26,1563.49
Colombia,COL,256.96,280.58,296.89,280.99,336.72,315.21,288.58,301.14,299.92,316.31,344.33,365.35,395.99,460.6,540.23,559.68,641.55,796.56,930.41,1092.3,1276.0,1358.49,1421.92,1381.12,1333.37,1189.87,1166.3,1188.55,1254.53,1238.6,1467.55,1491.86,1720.57,1920.4,2314.9,2571.47,2652.1,2860.04,2595.54,2236.07,2546.85,2465.01,2421.16,2305.17,2811.46,3448.54,3782.6,4762.08,5534.69,5245.95,6392.76,7392.94,8096.8,8263.64,8167.47,6228.65,5936.26,6449.97,6782.04,6436.51,5304.29,6182.71,6624.17
Costa Rica,CRI,376.97,351.2,331.15,341.58,349.9,369.98,391.21,409.98,440.6,472.67,530.71,565.29,633.2,762.08,809.7,928.51,1113.04,1380.48,1541.07,1717.78,2001.18,1057.42,1021.89,1199.9,1357.64,1414.13,1551.69,1549.94,1537.46,1705.43,1808.5,2221.47,2578.03,2814.04,3005.54,3240.71,3194.11,3373.41,3580.93,3653.75,3773.03,3941.6,4021.43,4123.51,4376.08,4643.46,5188.36,6055.09,6841.91,6737.86,8147.24,9137.46,9971.65,10633.27,10737.68,11529.96,11899.81,12118.13,12383.15,12669.34,12179.26,12604.05,13365.36
Cuba,CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.85,766.11,887.22,1074.19,1211.71,1369.25,1436.29,1468.71,1833.99,2003.58,2030.04,2046.01,2114.62,2223.92,2388.29,2258.39,2366.92,2441.58,2633.85,2567.02,2695.61,2269.65,2048.07,2063.22,2613.01,2784.9,2281.98,2306.38,2332.51,2562.27,2752.2,2844.24,3007.19,3205.69,3403.3,3791.87,4336.87,4814.85,4992.82,5094.44,5275.53,6106.01,6467.34,6814.24,7117.54,7683.74,8055.93,8543.33,8831.91,9139.38,9499.57,0.0,0.0
Chipre,CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.33,1157.41,1476.27,1929.4,2559.26,4232.02,4033.24,4122.78,4091.05,4258.74,4488.29,5642.63,6690.58,7645.63,8038.91,9641.58,9696.1,11310.07,10526.14,11617.69,15261.41,15139.23,14234.24,15092.83,15287.92,14388.35,14821.45,16093.21,20252.24,23792.62,24959.26,26729.32,31244.93,35397.36,32109.24,31023.27,32395.75,28910.75,27727.54,27162.32,23408.44,24605.35,26608.7,29335.05,29420.0,28281.43,32745.84,32048.24
República Checa,CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.5,2896.61,3372.87,3956.18,4630.55,5824.12,6532.84,6034.49,6489.7,6337.42,6029.04,6637.04,8060.87,9818.57,11749.85,13430.67,15261.8,18466.55,22804.58,19861.7,19960.07,21871.27,19870.8,20133.17,19890.92,17829.7,18575.23,20636.2,23424.48,23664.85,22992.88,26822.51,27226.62
Alemania,DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.17,3192.13,3809.98,5046.76,5639.08,6236.36,6634.86,7682.95,9482.04,11281.02,12138.31,10209.07,9913.74,9864.34,9313.17,9429.57,13461.83,16677.51,17931.28,17764.38,22303.96,23357.76,26438.23,25522.63,27076.61,31658.35,30485.87,26964.05,27289.06,26734.94,23694.76,23628.33,25197.27,30310.36,34106.66,34520.24,36353.88,41640.08,45612.71,41650.37,41572.46,46705.9,43855.85,46298.92,48023.87,41103.26,42136.12,44652.59,47939.28,46805.14,46749.48,51426.75,48717.99
Djibouti,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.97,0.0,825.55,820.58,785.29,783.7,735.73,767.11,762.48,788.62,790.52,766.32,752.75,740.04,745.21,742.87,747.78,749.08,771.37,813.9,852.89,907.82,980.03,1131.64,1164.25,1227.82,1322.73,1418.46,2102.2,2239.11,2409.31,2545.74,2655.73,2755.84,2876.04,2921.74,3062.55,3136.11
