WB_country_code,WB_country_name,Latitude,Longitude,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,34.52,69.18,-73.03256174434016,-74.37939520614908,-76.03832804383195,-69.72454074527471,-71.04744903514705,-70.60941477044693,-63.73087575150896,-59.579996331151705,-68.93360829750985,-71.32064779967254,-73.42408839182238,-76.01665435035765,-82.47019209442125,-85.21656061583643,-86.01572489812172,-87.56549788226637,-87.97037080078158,-87.82583036137308,-88.13391130960036,-88.949892269708,-90.8765880105039,-89.95245921256497,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-97.81348712193598,-97.92426974096001,-97.97862788848033,-97.86689594411328,-97.96120296132361,-97.54365264160072,-97.72508087192206,-96.9699426922927,-96.42171342729499,-96.53178531168712,-96.21768151709077,-96.4354561592411,-96.58750321478358,-96.54934227379789,-96.83573784403592,-96.97131758720255,-97.32595259177647,-97.28769403937065,-96.9746308601306,-98.12151353490489,-100.0
ARE,United Arab Emirates,24.47,54.37,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1630.389326039574,1729.7278330550575,1740.2059153009009,1273.713895195066,1233.8197146598347,1244.9770554922106,1344.7461516233934,1237.6869156434261,1100.4586016492926,1021.6869225668491,930.5662551531249,590.2552977295679,486.09912298223225,398.9565689161038,422.56599447814204,406.34349133678177,380.8170119777196,352.0757052591768,353.69167239095856,333.95864145636205,290.56885295733565,300.2646880890681,308.9432097291548,267.6026653129584,267.5627312471909,326.7067857313934,297.18111175501116,262.742090385159,239.030778284476,237.31518400345473,254.1509260392373,237.3411496489362,186.66772081785814,168.45371900025523,112.00570292441955,125.14426441899487,139.73724950847512,156.93271741607379,155.20204102798786,155.27116540211946,152.76786122746338,148.36502677088933,147.89426495654533,153.8916966404916,147.26575393082834,122.32185618267198,134.07077591768686,203.92100829323562
ARG,Argentina,-34.58,-58.67,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,29.361610756470697,32.94732086047594,2.2161802770380707,3.167741387457021,-11.33728286099338,-7.246313152618749,-46.20244011453878,-17.81393401848521,7.346698885713844,20.21207566749793,26.16318937392522,27.21233374798324,6.766776681708084,7.638991392831788,16.472376290465995,17.076623750384723,4.292595282979833,2.6936041482771325,-4.798472214578813,-69.03942414317751,-65.34401766720525,-61.198549022275515,-57.30241191643708,-56.16921181336465,-52.934368987898736,-46.610437817919774,-45.30278407413802,-33.93077117750877,-26.79602327050432,-24.271086401369146,-27.003390206994148,-32.8143759137322,-16.064552593027585,-22.623581525779237,-15.881215559536313,-35.904373127717015,-45.705546006461624,-49.77506737693376,-43.7644152239504,-22.754419067564225
ARM,Armenia,40.17,44.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.95816828796093,-89.2824135127087,-93.71928932220705,-93.69911211170839,-93.35636903022233,-93.61036188524994,-93.22420348297618,-92.8613259145445,-91.70767496612399,-92.2389834392447,-91.91875174360001,-91.02096630035061,-90.814173377395,-90.5366288826366,-89.36927575087539,-86.50097348294203,-84.30441749872637,-79.9985754586634,-76.7533392787485,-80.50288209315147,-80.00593413936173,-80.27184407640826,-78.90834455243787,-78.60838402980384,-78.11880981871798,-77.68382317891155,-77.73764167700979,-76.7325534790602,-76.13403586107208,-73.68833260156147,-73.37827589293583,-73.74416795801993,-60.28648196688198
AUS,Australia,-35.27,149.13,682.8642569456102,670.4235675998477,629.1267477733799,626.1053237571649,621.6569766748718,537.022223626595,494.04820961634005,523.8443241372984,531.511750082117,539.0400549611736,440.0217395423619,404.3024348086327,389.7198659408329,370.9908614590517,399.21628942020726,347.3623047313693,337.8903178226117,306.6511557055743,283.9513644058556,260.6675069676811,219.34757348386552,281.9099733822959,328.1941257639843,299.6939005539043,336.0169605696616,300.603826842182,240.22865207244263,195.75816486522945,230.805426656635,302.72882144651527,246.29853980348614,253.2706896222849,228.49538506507994,220.9570415635612,208.96812278041006,195.6755910452441,208.2383445695324,236.82958217458224,204.7875723987417,179.2616348825799,192.95589837847717,161.55235289387804,143.67477964755562,146.60609160911721,180.9922284292572,189.42600831513008,172.28386678439463,167.9555000572333,195.5752295557432,186.1480421258987,231.72796706236372,256.7101594149805,294.0694024857433,280.5931425805719,240.7444300790059,245.4971657070304,201.9905134662428,210.58500907629215,211.22783985823307,199.97845630466188,206.44964045039725,220.4760317991295,268.3849597720561
AUT,Austria,48.2,16.37,304.4726597825807,323.3800838947992,327.66571950907763,330.76641002516965,329.80537621674637,283.8677415011173,276.8770068747639,279.5302216838015,288.9198818559559,289.95160307602043,236.40979796832173,243.54389558949237,262.5807088230003,284.1206309653591,256.59593486108986,237.61777923426916,232.12877983444264,256.18938468047793,281.75587048191926,280.04710488025705,240.02188510347108,202.38474322679042,215.32034304774422,231.03251097915808,215.60346832291728,221.15351289325477,290.7450951897627,316.1341343304998,307.0912350666916,294.4805878930496,311.42637207936383,319.79667607644996,338.84825482250386,336.68524105255415,337.08080546032096,338.50552631241476,317.2370022923105,280.40090592954357,288.26380522590006,266.5052871791958,229.86173887419756,226.13167738164844,218.39994048966497,235.77307539546376,236.14416777457956,222.4793001057193,202.5929113530134,206.22972862830758,208.7699151214938,221.81415372277323,198.37350154200593,193.08550628561252,181.11780254202276,183.11389315710733,182.07188276004612,169.0245691307471,174.094431536061,173.0221286078915,179.67246109081728,172.83043916773056,188.25967201042369,182.56965542034135,194.735129904914
AZE,Azerbaijan,40.38,49.87,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.50213695247709,-86.23325116581047,-98.93745784309637,-96.20046323644131,-97.32332380752307,-95.45152738152983,-94.27257704806755,-92.79922076047676,-92.02652322155915,-92.2624432464398,-91.22488690076639,-90.65551039941981,-90.84069911412729,-90.81195114901297,-90.47759964721102,-86.75103317845937,-81.60038126864771,-74.86127691373312,-66.84843428777681,-66.91590971112238,-62.82697789120195,-59.03696269289731,-56.61019306650413,-56.05023979409043,-57.019894123545946,-66.5178824037279,-76.5232377286526,-76.12697817623909,-74.24368882719877,-73.8123028683761,-75.00871152125742,-71.44598142796778,-56.076245264806545
BDI,Burundi,-3.37,29.35,-69.145480296234,-70.41977258826532,-70.93148442265685,-70.85774801072225,-70.89508500831764,-85.75992074444213,-86.86860008864905,-86.83454447706652,-87.33095808864199,-88.13518643421834,-88.65981145101128,-89.81479744069154,-91.44899516751282,-91.58743909493403,-92.73603155088007,-92.82750170647604,-93.15375067939654,-92.70899136815457,-92.97153492076585,-92.66081305299154,-93.32910129689681,-93.04743041038768,-92.6229176677391,-92.04750881889898,-92.84413055928717,-91.86235562940644,-92.8810286202373,-94.43124346598643,-95.24513457917101,-95.31901567842657,-96.08251928292648,-96.0914226851961,-96.67373506060942,-96.93614407688219,-97.17795230668372,-97.56164503543799,-97.94888301430586,-97.66065838244403,-97.89860978427272,-98.23714379841434,-98.15147976233516,-98.19914699399622,-98.50999775658525,-98.81085318710477,-98.82871040339566,-98.73089877927943,-98.76282325526928,-98.88572741934432,-98.84205290192128,-98.6330357490936,-98.58357104306045,-98.65285776677797,-98.62112257688193,-98.6519882192236,-98.59569692237234,-98.23863547901875,-98.53272126315356,-98.59457024540141,-98.73897164837254,-98.81767785535068,-98.71891811389703,-98.83229505137885,-98.53420927805892
BEL,Belgium,50.83,4.33,450.7159921733428,454.0189076338489,465.53477181930845,466.6110151815218,476.2238201325575,412.6288896001076,396.16719568534944,404.52830325755576,415.1907041560034,425.11092779576103,351.9555346651648,344.8259884710135,375.1201659846694,383.8589894764945,341.5365450393709,328.0491282772781,323.6456739991194,340.7213628156504,378.7270081310076,358.3109403060172,302.41238413467465,242.25754778504026,213.09240789025864,207.04244963770643,196.8660842973482,206.40274132385736,263.47611365399865,284.22693889478694,279.5900401845707,273.1658390325645,290.9203226815881,294.1481594067708,312.2575376376016,304.0884325248709,312.5713067578461,310.8581120958351,284.77073457934983,253.5569501848626,259.5512856897316,240.47460869906266,209.41134516372446,205.6320182352878,200.13919122970668,218.73345519046933,222.8419118315662,208.9836312213638,187.97848204380628,189.28379080556238,187.26198889289947,199.13814554709646,181.0780680900306,170.11537808470916,158.57531867697054,160.940871227299,160.16302265542865,149.62180220401876,154.16106211432893,154.42498013528638,158.36235351874475,154.16204277334543,169.46854099188172,173.76545789467534,182.52435698540447
BFA,Burkina Faso,12.37,-1.52,-70.13130295493055,-70.38694670127768,-69.69703569513645,-70.9020427572544,-72.63203491417303,-77.10248875930202,-79.02422974978953,-79.55425309422856,-80.31372298055769,-81.47431342411622,-86.65158497742236,-87.80488284016502,-87.64097082868336,-88.72335750995617,-90.38889110426526,-90.21885596502518,-90.89018939184973,-90.77967992400582,-89.56314575213743,-89.94795650212515,-91.29733168017208,-91.96808900785737,-91.97085543033995,-92.62471695586522,-93.38891175088857,-93.1872920047055,-92.5904278838508,-92.86802138746815,-93.00734651364057,-93.3600432731176,-93.55505727601394,-93.72934274943086,-93.83164645267644,-94.10385444246117,-96.79910020074483,-96.67670567808051,-96.59131623088516,-96.80058746441425,-96.44669374083149,-96.0375846341567,-96.65391046834291,-96.54144858872043,-96.5582556524957,-96.21723009996029,-96.30543514125387,-96.28192542690674,-96.59724312944947,-96.62702620787405,-96.30159868099129,-95.96420078303825,-96.0096856560699,-95.85453939389012,-95.75141823497766,-95.74585228529972,-95.8202619941078,-96.15215871354759,-95.97221278879776,-95.90614977319099,-95.76577914509994,-95.83007616375538,-95.13427575842786,-95.30732137712286,-95.30299605898942
