WB_country_code,WB_country_name,Region,year,medals_cumsum,GDP_deviation,GDP_dev_sign,GDP_cumsum,ratio_medal_gdp,GDP
AFG,Afghanistan,Asia,1960,0,-73.03256174434016,negative,537777811.11,0.0,537777811.11
ARE,United Arab Emirates,Asia,1960,0,-100.0,negative,0.0,,0.0
ARG,Argentina,Americas,1960,2,-100.0,negative,0.0,,0.0
ARM,Armenia,Asia,1960,0,-100.0,negative,0.0,,0.0
AUS,Australia,Oceania,1960,22,682.8642569456102,positive,18606562977.05,1.1823784987660315e-09,18606562977.05
AUT,Austria,Europe,1960,3,304.4726597825807,positive,6592693841.18,4.550491911608384e-10,6592693841.18
AZE,Azerbaijan,Asia,1960,0,-100.0,negative,0.0,,0.0
BDI,Burundi,Africa,1960,0,-69.145480296234,negative,195999990.0,0.0,195999990.0
BEL,Belgium,Europe,1960,4,450.7159921733428,positive,11658722590.99,3.430907604827349e-10,11658722590.99
BFA,Burkina Faso,Africa,1960,0,-70.13130295493055,negative,330442815.82,0.0,330442815.82
BGR,Bulgaria,Europe,1960,7,-100.0,negative,0.0,,0.0
BHR,Bahrain,Asia,1960,0,-100.0,negative,0.0,,0.0
BHS,Bahamas,Americas,1960,0,541.2171065118414,positive,169803921.57,0.0,169803921.57
BLR,Belarus,Europe,1960,0,-100.0,negative,0.0,,0.0
BMU,Bermuda,Americas,1960,0,722.5565903089191,positive,84466652.59,0.0,84466652.59
BRA,Brazil,Americas,1960,2,-100.0,negative,0.0,,0.0
BRB,Barbados,Americas,1960,0,-100.0,negative,0.0,,0.0
BWA,Botswana,Africa,1960,0,-74.3599633067079,negative,30411413.66,0.0,30411413.66
CAN,Canada,Americas,1960,1,876.8508077457032,positive,40461721692.65,2.471471697611061e-11,40461721692.65
CHE,Switzerland,Europe,1960,7,672.8157838806505,positive,9522746719.22,7.350820310984144e-10,9522746719.22
CHL,Chile,Americas,1960,0,118.264595662291,positive,4110000000.0,0.0,4110000000.0
CHN,China,Asia,1960,1,-61.293489295387694,negative,59716249310.97,1.6745860825795332e-11,59716249310.97
CIV,Côte d'Ivoire,Africa,1960,0,-36.31931527507485,negative,546203558.46,0.0,546203558.46
CMR,Cameroon,Africa,1960,0,-48.10594934352583,negative,614206068.5,0.0,614206068.5
COL,Colombia,Americas,1960,0,11.103943148538601,positive,4031152976.64,0.0,4031152976.64
CRI,Costa Rica,Americas,1960,0,62.99367002142202,positive,507513829.99,0.0,507513829.99
CUB,Cuba,Americas,1960,0,-100.0,negative,0.0,,0.0
CYP,Cyprus,Asia,1960,0,-100.0,negative,0.0,,0.0
CZE,Czech Republic,Europe,1960,9,-100.0,negative,0.0,,0.0
DEU,Germany,Europe,1960,44,-100.0,negative,0.0,,0.0
DJI,Djibouti,Africa,1960,0,-100.0,negative,0.0,,0.0
DNK,Denmark,Europe,1960,7,-100.0,negative,0.0,,0.0
DOM,Dominican Republic,Americas,1960,0,-11.84670015129183,negative,672399700.0,0.0,672399700.0
DZA,Algeria,Africa,1960,0,3.3513991702801373,positive,2723615451.3,0.0,2723615451.3
ECU,Ecuador,Americas,1960,0,93.75306648619099,positive,2069464936.6,0.0,2069464936.6
EGY,Egypt,Africa,1960,2,-100.0,negative,0.0,,0.0
ERI,Eritrea,Africa,1960,0,-100.0,negative,0.0,,0.0
ESP,Spain,Europe,1960,1,71.39045775470586,positive,12072126075.4,8.283545033859049e-11,12072126075.4
EST,Estonia,Europe,1960,0,-100.0,negative,0.0,,0.0
ETH,Ethiopia,Africa,1960,1,-100.0,negative,0.0,,0.0
FIN,Finland,Europe,1960,6,409.9254177779771,positive,5224102195.53,1.1485227079083363e-09,5224102195.53
FJI,Fiji,Oceania,1960,0,20.862722712916387,positive,112328422.11,0.0,112328422.11
FRA,France,Europe,1960,5,476.7408456062138,positive,62225478000.88,8.035293838850527e-11,62225478000.88
GAB,Gabon,Africa,1960,0,19.15915197815128,positive,141468977.8,0.0,141468977.8
GBR,Great Britain,Europe,1960,20,504.28767086303736,positive,73233967692.1,2.730973157713735e-10,73233967692.1
GEO,Georgia,Asia,1960,0,-100.0,negative,0.0,,0.0
GHA,Ghana,Africa,1960,1,-23.430116390976405,negative,1223943661.97,8.170310701968494e-10,1223943661.97
GRC,Greece,Europe,1960,1,124.97510779517285,positive,4335186016.84,2.3067060931538044e-10,4335186016.84
GRD,Grenada,Americas,1960,0,-100.0,negative,0.0,,0.0
GTM,Guatemala,Americas,1960,0,9.287954040413364,positive,1043599900.0,0.0,1043599900.0
GUY,Guyana,Americas,1960,0,28.67147587785493,positive,170216241.13,0.0,170216241.13
HKG,Hong Kong,Asia,1960,0,83.35436695037859,positive,1320796651.69,0.0,1320796651.69
HRV,Croatia,Europe,1960,0,-100.0,negative,0.0,,0.0
HUN,Hungary,Europe,1960,24,-100.0,negative,0.0,,0.0
IDN,Indonesia,Asia,1960,0,-100.0,negative,0.0,,0.0
IND,India,Asia,1960,1,-64.09530106220951,negative,37029883876.18,2.700521566159337e-11,37029883876.18
IRL,Ireland,Europe,1960,0,196.44292676708264,positive,1939329775.44,0.0,1939329775.44
IRN,Iran,Asia,1960,4,-15.115480545917267,negative,4199134389.9,9.525772763122395e-10,4199134389.9
IRQ,Iraq,Asia,1960,1,2.7676883855255974,positive,1683918766.43,5.938528745778247e-10,1683918766.43
ISL,Iceland,Europe,1960,0,511.80673052739405,positive,248434096.97,0.0,248434096.97
ISR,Israel,Asia,1960,0,431.4665076272152,positive,2598500000.0,0.0,2598500000.0
ITA,Italy,Europe,1960,38,247.84406609420856,positive,40385288344.19,9.40936701408171e-10,40385288344.19
JAM,Jamaica,Americas,1960,2,84.04184854131171,positive,699064380.37,2.8609668238874397e-09,699064380.37
JOR,Jordan,Asia,1960,0,-100.0,negative,0.0,,0.0
JPN,Japan,Asia,1960,18,105.5180816366881,positive,44307342950.4,4.062532032252568e-10,44307342950.4
KAZ,Kazakhstan,Asia,1960,0,-100.0,negative,0.0,,0.0
KEN,Kenya,Africa,1960,0,-55.862817105375065,negative,791265459.49,0.0,791265459.49
KGZ,Kyrgyzstan,Asia,1960,0,-100.0,negative,0.0,,0.0
KOR,South Korea,Asia,1960,0,-31.567477108813797,negative,3958811881.19,0.0,3958811881.19
KWT,Kuwait,Asia,1960,0,-100.0,negative,0.0,,0.0
LBN,Lebanon,Asia,1960,0,-100.0,negative,0.0,,0.0
LKA,Sri Lanka,Asia,1960,0,-37.694278456941106,negative,1409873949.58,0.0,1409873949.58
LTU,Lithuania,Europe,1960,0,-100.0,negative,0.0,,0.0
LVA,Latvia,Europe,1960,0,-100.0,negative,0.0,,0.0
MAR,Morocco,Africa,1960,1,-25.37149522323411,negative,2037154741.93,4.9088072664161e-10,2037154741.93
MDA,Moldova,Europe,1960,0,-100.0,negative,0.0,,0.0
MEX,Mexico,Americas,1960,1,55.46163900629304,positive,13040000000.0,7.668711656441718e-11,13040000000.0
MKD,North Macedonia,Europe,1960,0,-100.0,negative,0.0,,0.0
MNE,Montenegro,Europe,1960,0,-100.0,negative,0.0,,0.0
MNG,Mongolia,Asia,1960,0,-100.0,negative,0.0,,0.0
MOZ,Mozambique,Africa,1960,0,-100.0,negative,0.0,,0.0
MUS,Mauritius,Africa,1960,0,-100.0,negative,0.0,,0.0
MYS,Malaysia,Asia,1960,0,5.76407041393225,positive,1916229477.14,0.0,1916229477.14
NAM,Namibia,Africa,1960,0,-100.0,negative,0.0,,0.0
NER,Niger,Africa,1960,0,-44.42640950777682,negative,449526873.3,0.0,449526873.3
NGA,Nigeria,Africa,1960,0,-59.615861262167236,negative,4196174501.53,0.0,4196174501.53
NLD,Netherlands,Europe,1960,3,362.1173426147847,positive,12276734172.08,2.443646622912681e-10,12276734172.08
NOR,Norway,Europe,1960,2,523.3858229834879,positive,5163271598.16,3.873513066236389e-10,5163271598.16
NZL,New Zealand,Oceania,1960,3,900.0695256281613,positive,5485854791.97,5.468609931840146e-10,5485854791.97
PAK,Pakistan,Asia,1960,2,-64.72224968287179,negative,3749265014.7,5.334378850677301e-10,3749265014.7
PAN,Panama,Americas,1960,0,106.08017350348877,positive,537147100.0,0.0,537147100.0
PER,Peru,Americas,1960,0,-100.0,negative,0.0,,0.0
PHL,Philippines,Asia,1960,0,14.078706258991378,positive,7515894110.56,0.0,7515894110.56
POL,Poland,Europe,1960,22,-100.0,negative,0.0,,0.0
PRI,Puerto Rico,Americas,1960,0,210.23579642165294,positive,1691900000.0,0.0,1691900000.0
PRK,North Korea,Asia,1960,0,-100.0,negative,0.0,,0.0
PRT,Portugal,Europe,1960,2,55.87239844741659,positive,3193200404.37,6.263308739604737e-10,3193200404.37
PRY,Paraguay,Americas,1960,0,-100.0,negative,0.0,,0.0
QAT,Qatar,Asia,1960,0,-100.0,negative,0.0,,0.0
ROU,Romania,Europe,1960,10,-100.0,negative,0.0,,0.0
