game_slug,game_country,game_name,game_season,game_year,game_city
rome-1960,Italy,Rome 1960,Summer,1960,Rome
tokyo-1964,Japan,Tokyo 1964,Summer,1964,Tokyo
mexico-city-1968,Mexico,Mexico City 1968,Summer,1968,Mexico City
munich-1972,Federal Republic of Germany,Munich 1972,Summer,1972,Munich
montreal-1976,Canada,Montreal 1976,Summer,1976,Montreal
moscow-1980,USSR,Moscow 1980,Summer,1980,Moscow
los-angeles-1984,United States,Los Angeles 1984,Summer,1984,Los Angeles
seoul-1988,Republic of Korea,Seoul 1988,Summer,1988,Seoul
barcelona-1992,Spain,Barcelona 1992,Summer,1992,Barcelona
atlanta-1996,United States,Atlanta 1996,Summer,1996,Atlanta
sydney-2000,Australia,Sydney 2000,Summer,2000,Sydney
athens-2004,Greece,Athens 2004,Summer,2004,Athens
beijing-2008,China,Beijing 2008,Summer,2008,Beijing
london-2012,Great Britain,London 2012,Summer,2012,London
rio-2016,Brazil,Rio 2016,Summer,2016,Rio
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Tokyo
