discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_url,athlete_full_name,game_year,WB_country_code,WB_country_name,game_city,game_name,bronze,gold,silver,sum_medals
Shooting,tokyo-2020,Trap Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/fatima-galvez,Fatima GALVEZ,2020,ESP,Spain,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Trap Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/alberto-fernandez-1,Alberto FERNANDEZ,2020,ESP,Spain,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Trap Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/alessandra-perilli,Alessandra PERILLI,2020,SMR,San Marino,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,Trap Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/gian-marco-berti,Gian Marco BERTI,2020,SMR,San Marino,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,Trap Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/madelynn-ann-bernau,Madelynn Ann BERNAU,2020,USA,United States,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Trap Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/brian-burrows,Brian BURROWS,2020,USA,United States,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,silver,Athlete,https://olympics.com/en/athletes/yulia-zykova,Yulia ZYKOVA,2020,RUS,Russia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,bronze,Athlete,https://olympics.com/en/athletes/yulia-karimova,Yulia KARIMOVA,2020,RUS,Russia,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,gold,Athlete,https://olympics.com/en/athletes/nina-christen,Nina CHRISTEN,2020,CHE,Switzerland,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,bronze,Athlete,https://olympics.com/en/athletes/milenko-sebic,Milenko SEBIC,2020,SRB,Serbia,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,gold,Athlete,https://olympics.com/en/athletes/changhong-zhang,Changhong ZHANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,silver,Athlete,https://olympics.com/en/athletes/sergey-kamenskiy,Sergey KAMENSKIY,2020,RUS,Russia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,gold,Athlete,https://olympics.com/en/athletes/jean-quiquampoix,Jean QUIQUAMPOIX,2020,FRA,France,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,silver,Athlete,https://olympics.com/en/athletes/leuris-pupo,Leuris PUPO,2020,CUB,Cuba,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,bronze,Athlete,https://olympics.com/en/athletes/yuehong-li,Yuehong LI,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Rifle Men,Men,bronze,Athlete,https://olympics.com/en/athletes/haoran-yang,Haoran YANG,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Rifle Men,Men,silver,Athlete,https://olympics.com/en/athletes/lihao-sheng,Lihao SHENG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Rifle Men,Men,gold,Athlete,https://olympics.com/en/athletes/william-shaner,William SHANER,2020,USA,United States,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Rifle women,Women,bronze,Athlete,https://olympics.com/en/athletes/nina-christen,Nina CHRISTEN,2020,CHE,Switzerland,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Rifle women,Women,gold,Athlete,https://olympics.com/en/athletes/qian-yang,Qian YANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Rifle women,Women,silver,Athlete,https://olympics.com/en/athletes/anastasiia-galashina,Anastasiia GALASHINA,2020,RUS,Russia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,Trap Men,Men,gold,Athlete,https://olympics.com/en/athletes/jiri-liptak,Jiri LIPTAK,2020,CZE,Czech Republic,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Trap Men,Men,silver,Athlete,https://olympics.com/en/athletes/david-kostelecky,David KOSTELECKY,2020,CZE,Czech Republic,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,Trap Men,Men,bronze,Athlete,https://olympics.com/en/athletes/matthew-john-coward-holley,Matthew John COWARD HOLLEY,2020,GBR,Great Britain,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Skeet women,Women,silver,Athlete,https://olympics.com/en/athletes/diana-bacosi,Diana BACOSI,2020,ITA,Italy,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,Skeet women,Women,bronze,Athlete,https://olympics.com/en/athletes/meng-wei,Meng WEI,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Skeet women,Women,gold,Athlete,https://olympics.com/en/athletes/amber-english,Amber ENGLISH,2020,USA,United States,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Trap women,Women,bronze,Athlete,https://olympics.com/en/athletes/alessandra-perilli,Alessandra PERILLI,2020,SMR,San Marino,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Trap women,Women,gold,Athlete,https://olympics.com/en/athletes/zuzana-stefecekova,Zuzana STEFECEKOVA,2020,SVK,Slovakia,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Trap women,Women,silver,Athlete,https://olympics.com/en/athletes/kayle-browning,Kayle BROWNING,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol women,Women,gold,Athlete,https://olympics.com/en/athletes/vitalina-batsarashkina,Vitalina BATSARASHKINA,2020,RUS,Russia,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Pistol women,Women,silver,Athlete,https://olympics.com/en/athletes/antoaneta-boneva,Antoaneta BONEVA,2020,BGR,Bulgaria,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol women,Women,bronze,Athlete,https://olympics.com/en/athletes/ranxin-jiang,Ranxin JIANG,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/qian-yang,Qian YANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/haoran-yang,Haoran YANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/mary-carolynn-tucker,Mary Carolynn TUCKER,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/lucas-kozeniesky,Lucas KOZENIESKY,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/yulia-karimova,Yulia KARIMOVA,2020,RUS,Russia,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/sergey-kamenskiy,Sergey KAMENSKIY,2020,RUS,Russia,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,25m Pistol Women,Women,bronze,Athlete,https://olympics.com/en/athletes/jiaruixuan-xiao,Jiaruixuan XIAO,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,25m Pistol Women,Women,gold,Athlete,https://olympics.com/en/athletes/vitalina-batsarashkina,Vitalina BATSARASHKINA,2020,RUS,Russia,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,25m Pistol Women,Women,silver,Athlete,https://olympics.com/en/athletes/minjung-kim,Minjung KIM,2020,KOR,South Korea,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol Men,Men,silver,Athlete,https://olympics.com/en/athletes/damir-mikec,Damir MIKEC,2020,SRB,Serbia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol Men,Men,bronze,Athlete,https://olympics.com/en/athletes/wei-pang,Wei PANG,2020,CHN,China,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Pistol Men,Men,gold,Athlete,https://olympics.com/en/athletes/javad-foroughi,Javad FOROUGHI,2020,IRN,Iran,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/ranxin-jiang,Ranxin JIANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,gold,GameTeam,https://olympics.com/en/athletes/wei-pang,Wei PANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/vitalina-batsarashkina,Vitalina BATSARASHKINA,2020,RUS,Russia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,silver,GameTeam,https://olympics.com/en/athletes/artem-chernousov,Artem CHERNOUSOV,2020,RUS,Russia,Tokyo,Tokyo 2020,0,0,1,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/olena-kostevych,Olena KOSTEVYCH,2020,UKR,Ukraine,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,bronze,GameTeam,https://olympics.com/en/athletes/oleh-omelchuk,Oleh OMELCHUK,2020,UKR,Ukraine,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Skeet Men,Men,bronze,Athlete,https://olympics.com/en/athletes/abdullah-alrashidi-x5661,Abdullah ALRASHIDI,2020,KWT,Kuwait,Tokyo,Tokyo 2020,1,0,0,1
Shooting,tokyo-2020,Skeet Men,Men,gold,Athlete,https://olympics.com/en/athletes/vincent-hancock,Vincent HANCOCK,2020,USA,United States,Tokyo,Tokyo 2020,0,1,0,1
Shooting,tokyo-2020,Skeet Men,Men,silver,Athlete,https://olympics.com/en/athletes/jesper-hansen,Jesper HANSEN,2020,DNK,Denmark,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,gold,GameTeam,https://olympics.com/en/athletes/zongyuan-wang,Zongyuan WANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,gold,GameTeam,https://olympics.com/en/athletes/siyi-xie,Siyi XIE,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,silver,GameTeam,https://olympics.com/en/athletes/andrew-capobianco,Andrew CAPOBIANCO,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,silver,GameTeam,https://olympics.com/en/athletes/mike-hixon,Mike HIXON,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,bronze,GameTeam,https://olympics.com/en/athletes/patrick-hausding,Patrick HAUSDING,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,bronze,GameTeam,https://olympics.com/en/athletes/lars-rudiger,Lars RUDIGER,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,gold,GameTeam,https://olympics.com/en/athletes/tingmao-shi,Tingmao SHI,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,gold,GameTeam,https://olympics.com/en/athletes/han-wang,Han WANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,silver,GameTeam,https://olympics.com/en/athletes/jennifer-abel,Jennifer ABEL,2020,CAN,Canada,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,silver,GameTeam,https://olympics.com/en/athletes/melissa-citrini-beaulieu,Melissa CITRINI BEAULIEU,2020,CAN,Canada,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,bronze,GameTeam,https://olympics.com/en/athletes/lena-hentschel,Lena HENTSCHEL,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,bronze,GameTeam,https://olympics.com/en/athletes/tina-punzel,Tina PUNZEL,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,gold,GameTeam,https://olympics.com/en/athletes/thomas-daley,Thomas DALEY,2020,GBR,Great Britain,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,gold,GameTeam,https://olympics.com/en/athletes/matty-lee,Matty LEE,2020,GBR,Great Britain,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,silver,GameTeam,https://olympics.com/en/athletes/yuan-cao,Yuan CAO,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,silver,GameTeam,https://olympics.com/en/athletes/aisen-chen,Aisen CHEN,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,bronze,GameTeam,https://olympics.com/en/athletes/aleksandr-bondar,Aleksandr BONDAR,2020,RUS,Russia,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,bronze,GameTeam,https://olympics.com/en/athletes/viktor-minibaev,Viktor MINIBAEV,2020,RUS,Russia,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's 3m Springboard,Men,bronze,Athlete,https://olympics.com/en/athletes/jack-laugher,Jack LAUGHER,2020,GBR,Great Britain,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's 3m Springboard,Men,silver,Athlete,https://olympics.com/en/athletes/zongyuan-wang,Zongyuan WANG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's 3m Springboard,Men,gold,Athlete,https://olympics.com/en/athletes/siyi-xie,Siyi XIE,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,gold,GameTeam,https://olympics.com/en/athletes/yuxi-chen,Yuxi CHEN,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,gold,GameTeam,https://olympics.com/en/athletes/jiaqi-zhang,Jiaqi ZHANG,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,silver,GameTeam,https://olympics.com/en/athletes/jessica-parratto,Jessica PARRATTO,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,silver,GameTeam,https://olympics.com/en/athletes/delaney-schnell,Delaney SCHNELL,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,bronze,GameTeam,https://olympics.com/en/athletes/gabriela-belem-agundez-garcia,Gabriela Belem AGUNDEZ GARCIA,2020,MEX,Mexico,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,bronze,GameTeam,https://olympics.com/en/athletes/alejandra-orozco,Alejandra OROZCO,2020,MEX,Mexico,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's 10m Platform,Women,silver,Athlete,https://olympics.com/en/athletes/yuxi-chen,Yuxi CHEN,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's 10m Platform,Women,bronze,Athlete,https://olympics.com/en/athletes/melissa-wu,Melissa WU,2020,AUS,Australia,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's 10m Platform,Women,gold,Athlete,https://olympics.com/en/athletes/hongchan-quan,Hongchan QUAN,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's 10m Platform,Men,bronze,Athlete,https://olympics.com/en/athletes/thomas-daley,Thomas DALEY,2020,GBR,Great Britain,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's 10m Platform,Men,silver,Athlete,https://olympics.com/en/athletes/jian-yang-x3822,Jian YANG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
