WB_country_code,WB_country_name,Latitude,Longitude,year,medals_cumsum
AFG,Afghanistan,34.52,69.18,1960,0
ARE,United Arab Emirates,24.47,54.37,1960,0
ARG,Argentina,-34.58,-58.67,1960,2
ARM,Armenia,40.17,44.5,1960,0
AUS,Australia,-35.27,149.13,1960,22
AUT,Austria,48.2,16.37,1960,3
AZE,Azerbaijan,40.38,49.87,1960,0
BDI,Burundi,-3.37,29.35,1960,0
BEL,Belgium,50.83,4.33,1960,4
BFA,Burkina Faso,12.37,-1.52,1960,0
BGR,Bulgaria,42.68,23.32,1960,7
BHR,Bahrain,26.23,50.57,1960,0
BHS,Bahamas,25.08,-77.35,1960,0
BLR,Belarus,53.9,27.57,1960,0
BMU,Bermuda,32.28,-64.78,1960,0
BRA,Brazil,-15.78,-47.92,1960,2
BRB,Barbados,13.1,-59.62,1960,0
BWA,Botswana,-24.63,25.9,1960,0
CAN,Canada,45.42,-75.7,1960,1
CHE,Switzerland,46.92,7.47,1960,7
CHL,Chile,-33.45,-70.67,1960,0
CHN,China,39.92,116.38,1960,1
CIV,Côte d'Ivoire,6.82,-5.27,1960,0
CMR,Cameroon,3.87,11.52,1960,0
COL,Colombia,4.6,-74.08,1960,0
CRI,Costa Rica,9.93,-84.08,1960,0
CUB,Cuba,23.12,-82.35,1960,0
CYP,Cyprus,35.17,33.37,1960,0
CZE,Czech Republic,49.81,15.47,1960,9
DEU,Germany,52.52,13.4,1960,44
DJI,Djibouti,11.58,43.15,1960,0
DNK,Denmark,55.67,12.58,1960,7
DOM,Dominican Republic,18.47,-69.9,1960,0
DZA,Algeria,36.75,3.05,1960,0
ECU,Ecuador,-0.22,-78.5,1960,0
EGY,Egypt,30.05,31.25,1960,2
ERI,Eritrea,15.33,38.93,1960,0
ESP,Spain,40.4,-3.68,1960,1
EST,Estonia,59.43,24.72,1960,0
ETH,Ethiopia,9.03,38.7,1960,1
FIN,Finland,60.17,24.93,1960,6
FJI,Fiji,-18.13,178.42,1960,0
FRA,France,48.87,2.33,1960,5
GAB,Gabon,0.38,9.45,1960,0
GBR,Great Britain,54.08,-1.65,1960,20
GEO,Georgia,41.68,44.83,1960,0
GHA,Ghana,5.55,-0.22,1960,1
GRC,Greece,37.98,23.73,1960,1
GRD,Grenada,12.05,-61.75,1960,0
GTM,Guatemala,14.62,-90.52,1960,0
