game_year,WB_country_code,WB_country_name,game_city,game_name,gold,silver,bronze,sum_medals
1960,ARG,Argentina,Rome,Rome 1960,0,1,1,2
1960,AUS,Australia,Rome,Rome 1960,8,8,6,22
1960,AUT,Austria,Rome,Rome 1960,1,2,0,3
1960,BEL,Belgium,Rome,Rome 1960,0,2,2,4
1960,BGR,Bulgaria,Rome,Rome 1960,1,3,3,7
1960,BRA,Brazil,Rome,Rome 1960,0,0,2,2
1960,CAN,Canada,Rome,Rome 1960,0,1,0,1
1960,CHE,Switzerland,Rome,Rome 1960,0,3,4,7
1960,CHN,China,Rome,Rome 1960,0,1,0,1
1960,CZE,Czech Republic,Rome,Rome 1960,4,2,3,9
1960,DEU,Germany,Rome,Rome 1960,12,21,11,44
1960,DNK,Denmark,Rome,Rome 1960,2,4,1,7
1960,EGY,Egypt,Rome,Rome 1960,0,1,1,2
1960,ESP,Spain,Rome,Rome 1960,0,0,1,1
1960,ETH,Ethiopia,Rome,Rome 1960,1,0,0,1
1960,FIN,Finland,Rome,Rome 1960,1,1,4,6
1960,FRA,France,Rome,Rome 1960,0,2,3,5
1960,GBR,Great Britain,Rome,Rome 1960,2,6,12,20
1960,GHA,Ghana,Rome,Rome 1960,0,1,0,1
1960,GRC,Greece,Rome,Rome 1960,1,0,0,1
1960,HUN,Hungary,Rome,Rome 1960,6,9,9,24
1960,IND,India,Rome,Rome 1960,0,1,0,1
1960,IRN,Iran,Rome,Rome 1960,0,1,3,4
1960,IRQ,Iraq,Rome,Rome 1960,0,0,1,1
1960,ITA,Italy,Rome,Rome 1960,14,11,13,38
1960,JAM,Jamaica,Rome,Rome 1960,0,0,2,2
1960,JPN,Japan,Rome,Rome 1960,4,7,7,18
1960,MAR,Morocco,Rome,Rome 1960,0,1,0,1
1960,MEX,Mexico,Rome,Rome 1960,0,0,1,1
1960,NLD,Netherlands,Rome,Rome 1960,0,1,2,3
1960,NOR,Norway,Rome,Rome 1960,2,0,0,2
1960,NZL,New Zealand,Rome,Rome 1960,2,0,1,3
1960,PAK,Pakistan,Rome,Rome 1960,1,0,1,2
1960,POL,Poland,Rome,Rome 1960,4,6,12,22
1960,PRT,Portugal,Rome,Rome 1960,0,2,0,2
1960,ROU,Romania,Rome,Rome 1960,3,1,6,10
1960,RUS,Russia,Rome,Rome 1960,47,30,32,109
1960,SGP,Singapore,Rome,Rome 1960,0,1,0,1
1960,SWE,Sweden,Rome,Rome 1960,2,2,3,7
1960,TUR,Turkey,Rome,Rome 1960,7,2,0,9
1960,USA,United States,Rome,Rome 1960,34,21,17,72
1960,VEN,Venezuela,Rome,Rome 1960,0,0,1,1
1960,YGL,Yugoslavia,Rome,Rome 1960,1,1,0,2
1960,ZAF,South Africa,Rome,Rome 1960,0,1,2,3
1964,ARG,Argentina,Tokyo,Tokyo 1964,0,1,0,1
1964,AUS,Australia,Tokyo,Tokyo 1964,6,2,10,18
1964,BEL,Belgium,Tokyo,Tokyo 1964,2,0,1,3
1964,BGR,Bulgaria,Tokyo,Tokyo 1964,3,5,2,10
1964,BHS,Bahamas,Tokyo,Tokyo 1964,2,0,0,2
1964,BRA,Brazil,Tokyo,Tokyo 1964,0,0,1,1
1964,CAN,Canada,Tokyo,Tokyo 1964,2,2,1,5
1964,CHE,Switzerland,Tokyo,Tokyo 1964,1,2,1,4
1964,CUB,Cuba,Tokyo,Tokyo 1964,0,1,0,1
1964,CZE,Czech Republic,Tokyo,Tokyo 1964,5,6,4,15
1964,DEU,Germany,Tokyo,Tokyo 1964,11,22,21,54
1964,DNK,Denmark,Tokyo,Tokyo 1964,2,1,4,7
1964,ETH,Ethiopia,Tokyo,Tokyo 1964,1,0,0,1
1964,FIN,Finland,Tokyo,Tokyo 1964,3,0,2,5
1964,FRA,France,Tokyo,Tokyo 1964,1,9,6,16
1964,GBR,Great Britain,Tokyo,Tokyo 1964,4,13,2,19
1964,GHA,Ghana,Tokyo,Tokyo 1964,0,0,1,1
1964,HUN,Hungary,Tokyo,Tokyo 1964,10,7,5,22
1964,IND,India,Tokyo,Tokyo 1964,1,0,0,1
1964,IRL,Ireland,Tokyo,Tokyo 1964,0,0,1,1
1964,IRN,Iran,Tokyo,Tokyo 1964,0,0,2,2
1964,ITA,Italy,Tokyo,Tokyo 1964,11,10,7,28
1964,JPN,Japan,Tokyo,Tokyo 1964,16,5,8,29
1964,KEN,Kenya,Tokyo,Tokyo 1964,0,0,1,1
1964,KOR,South Korea,Tokyo,Tokyo 1964,0,2,1,3
1964,MEX,Mexico,Tokyo,Tokyo 1964,0,0,1,1
1964,NGA,Nigeria,Tokyo,Tokyo 1964,0,0,1,1
1964,NLD,Netherlands,Tokyo,Tokyo 1964,2,6,4,12
1964,NZL,New Zealand,Tokyo,Tokyo 1964,4,0,2,6
1964,PAK,Pakistan,Tokyo,Tokyo 1964,0,1,0,1
1964,PHL,Philippines,Tokyo,Tokyo 1964,0,1,0,1
1964,POL,Poland,Tokyo,Tokyo 1964,7,6,10,23
1964,ROU,Romania,Tokyo,Tokyo 1964,2,4,7,13
1964,RUS,Russia,Tokyo,Tokyo 1964,32,32,35,99
1964,SWE,Sweden,Tokyo,Tokyo 1964,3,2,5,10
1964,TTO,Trinidad and Tobago,Tokyo,Tokyo 1964,0,1,2,3
1964,TUN,Tunisia,Tokyo,Tokyo 1964,0,1,1,2
1964,TUR,Turkey,Tokyo,Tokyo 1964,2,3,1,6
1964,URY,Uruguay,Tokyo,Tokyo 1964,0,0,1,1
1964,USA,United States,Tokyo,Tokyo 1964,36,29,29,94
1964,YGL,Yugoslavia,Tokyo,Tokyo 1964,2,1,2,5
1968,ARG,Argentina,Mexico City,Mexico City 1968,0,0,2,2
1968,AUS,Australia,Mexico City,Mexico City 1968,5,7,5,17
1968,AUT,Austria,Mexico City,Mexico City 1968,0,2,3,5
1968,BEL,Belgium,Mexico City,Mexico City 1968,0,1,2,3
1968,BGR,Bulgaria,Mexico City,Mexico City 1968,2,4,3,9
1968,BRA,Brazil,Mexico City,Mexico City 1968,0,1,3,4
1968,CAN,Canada,Mexico City,Mexico City 1968,1,3,1,5
1968,CHE,Switzerland,Mexico City,Mexico City 1968,0,1,4,5
1968,CHN,China,Mexico City,Mexico City 1968,0,0,1,1
1968,CMR,Cameroon,Mexico City,Mexico City 1968,0,1,0,1
1968,CUB,Cuba,Mexico City,Mexico City 1968,0,4,0,4
1968,CZE,Czech Republic,Mexico City,Mexico City 1968,7,2,4,13
1968,DEU,Germany,Mexico City,Mexico City 1968,16,21,17,54
1968,DNK,Denmark,Mexico City,Mexico City 1968,1,4,4,9
1968,ETH,Ethiopia,Mexico City,Mexico City 1968,1,1,0,2
1968,FIN,Finland,Mexico City,Mexico City 1968,1,2,1,4
1968,FRA,France,Mexico City,Mexico City 1968,8,3,5,16
1968,GBR,Great Britain,Mexico City,Mexico City 1968,6,5,3,14
1968,GRC,Greece,Mexico City,Mexico City 1968,0,0,1,1
1968,HUN,Hungary,Mexico City,Mexico City 1968,10,13,12,35
1968,IND,India,Mexico City,Mexico City 1968,0,0,1,1
1968,IRN,Iran,Mexico City,Mexico City 1968,2,1,2,5
1968,ITA,Italy,Mexico City,Mexico City 1968,3,4,10,17
1968,JAM,Jamaica,Mexico City,Mexico City 1968,0,1,0,1
1968,JPN,Japan,Mexico City,Mexico City 1968,11,7,7,25
1968,KEN,Kenya,Mexico City,Mexico City 1968,3,4,2,9
