Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;28/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;405586592.18;487709497.21;596648044.69;695530726.26;764804469.27;872067039.11;958659217.88;1083240223.46;1245810055.87;1320670391.06;1379888268.16;1531843575.42;1665363128.49;1722905027.93;1873452513.97;1896456983.24;1961843575.42;2044111731.84;2254830726.26;2360017318.44;2469782681.56;2677641340.78;2843024581.01;2553793296.09;2453597206.70;2637859217.88;2615208379.89;2727849720.67;2790849720.67;2962907262.57;2983635195.53;3092429050.28;3276184357.54;3395798882.68;2558906303.88;3103184101.51;3544707788.06;
;AFE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;18478095142.18;19366314294.09;20506467177.87;22242734491.04;24294329779.90;26619560806.50;28732792825.16;31592963095.08;34216506003.77;38498685902.32;41938907715.59;45920167032.34;49440744172.34;64933825429.43;79888146173.01;84955085378.79;85050300129.22;94566922081.61;105623414443.52;125656371097.88;166475050971.98;173673510912.35;164114068718.60;175108664048.27;162752141155.35;135795509169.57;153368683414.31;186594742538.67;205635932770.81;218577418670.30;254673510115.59;275622021261.09;240210577721.91;238353057845.69;241158029890.41;270813961389.26;268992901985.37;284065411886.66;267286689939.30;263674195227.71;285403765401.25;260218617002.67;267142068310.11;354907412306.55;441359590323.39;514927086452.79;578633287253.35;664099392606.40;711800460143.43;723512528253.91;867040920627.22;971667511047.11;979996860991.41;986342932619.11;1006992481353.94;932513471557.12;890051427266.00;1028394291260.59;1012521425296.35;1006191000190.48;928880235176.59;1086530704900.50;1185137703650.99;
Afganistán;AFG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;537777811.11;548888895.56;546666677.78;751111191.11;800000044.44;1006666637.78;1399999966.67;1673333417.78;1373333366.67;1408888922.22;1748886595.56;1831108971.11;1595555475.56;1733333264.44;2155555497.78;2366666615.56;2555555566.67;2953333417.78;3300000108.89;3697940409.61;3641723322.00;3478787909.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3825701405.52;4520946849.32;5224896718.68;6203256497.09;6971758332.89;9747886104.53;10109296957.66;12416152648.06;15856668496.39;17805098367.30;19907329905.98;20146416876.39;20497128600.34;19134221744.53;18116572399.13;18753456506.57;18053222734.89;18799444414.60;19955929060.84;14266499429.87;0.00;
;AFW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10411646287.31;11135924727.94;11951712282.04;12685805889.89;13848998668.62;14874755833.54;15845575303.22;14428492961.85;14880501861.12;16882284662.37;23504960311.92;20843326170.63;25269456358.53;31841146881.86;44215328355.87;51445309626.48;62129985410.07;65316034540.71;71200526845.37;88629333635.72;112032331232.33;211005911802.92;187165406370.03;138116898441.31;114263904328.18;116508527443.66;107507001440.38;110281682790.50;108944735237.17;101770140749.66;121803568895.99;127939039832.69;122575953686.49;127980941949.70;133143476720.14;205687093879.59;261262106172.31;274376968923.50;294949797405.74;137292485423.69;140132777859.08;147524718751.25;176588559103.84;204455023741.49;253453654650.34;310070743908.93;396077046021.06;465627259599.13;567853448132.05;508492534468.29;598607469639.53;682176065823.12;737739503299.74;834097010134.99;894505003403.49;769263195356.95;692114931613.25;685630289666.52;768158194632.40;823405580187.91;786962436538.39;844927536437.83;875393693658.08;
Angola;AGO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5934073603.68;5553824463.88;5553824463.88;5787823808.70;6135166254.18;7558613008.03;7076793822.74;8089279284.62;8775116269.23;10207922517.06;11236275842.81;10401188707.28;8307826847.40;6084688935.80;4438321017.39;5538749259.95;6535434716.00;7675412600.67;6506381416.53;6152922942.25;9129594815.58;8936079251.42;15285592486.25;17812704627.03;23552057820.46;36970901023.79;52381025102.32;65266415706.97;88538664884.27;70307196474.13;83799473759.72;111789747670.59;128052915202.99;132339108708.41;135966802156.54;90496420626.18;52761617225.93;73690155046.56;79450688232.00;70897962712.62;48501561230.00;66505129989.24;106782770714.62;
Albania;ALB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1857337995.34;1897050116.55;2097326250.00;2080796250.00;2051236250.00;2253090000.00;2028553750.00;1099559027.78;652174990.84;1185315468.46;1880950864.41;2392764853.42;3199640815.42;2258513974.10;2545964540.88;3212121650.98;3480355258.04;3922100793.54;4348068242.20;5611496257.14;7184685781.52;8052077248.15;8896075004.64;10677324852.88;12881352893.69;12044205549.66;11926926615.80;12890760315.15;12319834195.33;12776224496.97;13228147516.12;11386853113.02;11861199830.84;13019726211.74;15156424015.20;15401826127.25;15162734205.25;17930565118.82;18916378860.55;
Andorra;AND;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;78617711.10;89406608.15;113414397.37;150841639.30;186557082.00;220112572.21;227283850.83;253997897.23;308020261.16;411548748.35;446377776.80;388983266.20;375914743.58;327850042.52;330073080.64;346742714.68;481996012.87;611299924.54;721425939.15;795489582.04;1028989692.07;1106891361.54;1209992020.30;1007090269.87;1017544068.84;1178745282.87;1224024139.21;1180645571.86;1211953994.06;1239840639.57;1429047881.84;1546912331.88;1755989353.93;2361636235.18;2895047587.12;3159826891.51;3456264324.63;3952395030.10;4085780202.88;3674190066.45;3449925693.58;3629133062.55;3188653258.61;3193513470.44;3271686452.48;2789882569.10;2896611878.63;3000160414.64;3218418631.68;3155150255.91;2891002460.29;3325143693.29;3352031094.23;
El mundo árabe;ARB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35102917960.31;38249920379.12;43245967541.03;49980195754.66;59593479016.60;75614829099.28;143722246048.17;158820613451.28;197693822439.77;228193318228.00;252397273549.80;341727182381.66;464922706719.99;480094377493.22;449527418217.14;423119939334.20;430640108344.54;424154835582.95;411512791338.67;445512045932.98;429625737199.95;460896461734.44;651231622555.60;480685955944.02;485480997990.06;499344733364.61;531889376829.68;564846181458.45;615168379200.27;662599381239.79;649474839551.00;717783506460.08;820573600760.52;803225963243.44;808316115359.46;894211049413.74;1063199673311.84;1304960956783.55;1546220845671.45;1798723747366.95;2264025451530.31;1987928421913.06;2346088525053.08;2567292128049.65;2802930798518.59;2860928547664.85;2907245176944.21;2555806089356.35;2539393624616.74;2639754813099.27;2845898419157.25;2871654771820.86;2535508549316.27;2930480380710.72;3543339785308.86;
Emiratos Árabes Unidos;ARE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14720728248.54;19213158778.79;24871775164.60;23775764224.68;31225659621.00;43599160050.33;49333424135.11;46622718605.28;42803323345.14;41807954235.90;40603650231.54;33943612094.80;36384908744.21;36275674203.21;41464995913.92;50701443748.30;51552165622.45;54239171887.77;55625170253.34;59305093979.84;65743666575.86;73571233996.19;78839008444.57;75674336283.19;84445473110.96;104337372362.15;103311640571.82;109816201497.62;124346358066.71;147824370319.95;180617467964.60;222116541865.21;257916133424.10;315474615738.60;253547358747.45;300189052694.03;360832739558.39;384610125384.03;400218529747.60;414105366758.91;370275469560.17;369255326235.77;390516804016.50;427049432149.35;417989721734.49;349473015336.94;415178792769.88;507063968273.31;
Argentina;ARG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109490000000.00;112988571428.57;88416666666.67;106213829787.23;109029439252.34;126928000000.00;76629657863.66;141352654305.16;189719984268.49;228778917308.17;236741715015.02;257440000000.00;258031750000.00;272149750000.00;292859000000.00;298948250000.00;283523000000.00;284203750000.00;268696750000.00;97724004251.86;127586973492.18;164657930452.79;198737095012.28;232557260817.31;287530508430.57;361558037110.42;332976484577.62;423627422092.49;530158122010.44;545982375701.13;552025140252.25;526319673731.64;594749285413.21;557532320662.96;643628393281.36;524819892360.18;447754683615.23;385740508436.97;487902572164.35;631133384439.94;
