Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;28/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6283.00;7567.25;9274.51;10767.40;11638.73;12850.22;13657.67;14970.15;16675.28;17140.43;17375.23;18713.43;19742.32;19833.83;21026.17;20911.19;21375.27;22050.59;24105.52;24978.22;25832.93;27665.30;29011.64;25740.77;24452.59;26043.16;25611.18;26514.87;26940.26;28419.26;28449.71;29329.08;30918.48;31902.81;24008.13;29127.76;33300.84;
Afganistán;AFG;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;62.37;62.44;60.95;82.02;85.51;105.24;143.10;167.17;134.01;134.25;162.64;166.22;141.37;149.74;181.60;194.67;205.67;232.78;255.05;284.76;291.65;311.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;182.17;199.64;221.83;254.12;274.02;376.32;382.53;453.39;562.50;608.74;653.42;638.73;626.51;566.88;523.05;526.14;492.09;497.74;512.06;355.78;0.00;
Angola;AGO;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;712.37;643.44;620.74;623.91;637.90;758.09;684.90;756.43;793.39;892.34;949.92;850.56;657.65;466.68;329.69;398.12;454.38;516.13;423.40;387.69;556.88;527.46;872.66;982.81;1254.70;1900.72;2597.96;3121.35;4081.72;3123.70;3586.66;4608.16;5083.83;5061.35;5011.98;3217.34;1809.71;2439.37;2540.51;2191.35;1450.91;1927.47;3000.44;
Albania;ALB;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;639.48;639.87;693.87;674.79;652.77;698.00;617.23;336.59;200.85;367.28;586.42;750.60;1009.98;717.38;813.79;1033.24;1126.68;1281.66;1425.12;1846.12;2373.58;2673.79;2972.74;3595.04;4370.54;4114.13;4094.35;4437.14;4247.63;4413.06;4578.63;3952.80;4124.06;4531.03;5287.66;5396.21;5343.04;6377.20;6810.11;
Andorra;AND;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3958.60;4193.16;4967.34;6183.81;7174.44;7963.55;7758.72;8206.98;9456.02;12054.03;12534.83;10516.76;9739.23;8108.68;7825.16;7914.87;10568.93;12833.00;14529.06;15404.82;19208.68;19967.73;21123.06;17024.31;16670.94;18731.65;19081.55;18253.08;18592.24;18884.18;21620.47;22809.09;24784.96;31954.16;37630.76;39583.93;43084.28;50562.83;53721.39;49750.72;48237.89;51428.19;44902.39;44747.76;45680.55;38885.55;39931.24;40632.21;42904.81;41328.61;37207.24;42072.32;41992.77;
Emiratos Árabes Unidos;ARE;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27090.34;31282.77;35186.23;29526.64;34372.38;42995.16;44841.23;39921.63;34586.53;31955.18;29432.83;23111.38;23088.20;21545.46;23141.01;26682.85;25668.49;25630.08;25019.37;25463.50;27010.68;28596.51;28709.25;25905.84;27261.91;31855.50;29909.01;30221.97;32607.37;37017.74;42190.55;45339.59;43918.38;45140.77;31722.59;35392.26;42078.61;44386.79;45729.61;46865.96;41525.14;41054.54;43063.97;46722.27;45376.17;37629.17;44332.34;53707.98;
Argentina;ARG;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3727.05;3787.47;2919.28;3454.30;3492.69;4005.20;2382.34;4330.97;5730.72;6815.33;6957.42;7464.47;7383.70;7690.16;8176.77;8250.67;7735.32;7666.52;7168.98;2579.49;3333.15;4258.16;5086.63;5890.98;7210.60;8977.51;8184.39;10385.96;12848.74;13082.66;13080.25;12334.80;13789.06;12790.26;14613.04;11795.16;9963.67;8500.84;10650.86;13650.60;
Armenia;ARM;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;634.57;572.16;356.08;347.47;389.83;441.89;484.09;501.16;584.38;575.63;603.30;676.15;765.32;910.17;1166.64;1608.16;2109.53;3064.28;3908.95;2917.37;3143.03;3462.68;3643.72;3833.16;4017.23;3666.14;3679.95;4042.00;4391.92;4828.50;4505.87;4972.78;7018.05;
Samoa Americana;ASM;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8800.73;9043.68;8832.82;8733.01;8673.93;9187.17;10019.50;12191.60;10446.86;10495.30;11920.06;12038.87;12314.00;13101.54;13300.82;12372.88;13195.94;13672.58;15609.78;16653.71;19673.39;
Antigua y Barbuda;ATG;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1208.68;1366.09;1688.31;2025.47;2271.83;2519.80;2784.74;3187.98;3703.79;4488.20;5239.46;6230.47;6895.39;7255.41;7569.97;7721.76;8129.14;8788.01;8440.03;9079.48;9556.83;10029.48;10379.16;11010.20;10502.94;10549.67;10968.89;11650.85;12808.01;14310.69;16006.14;16457.10;14530.60;13404.52;14774.03;15136.84;14977.07;15451.50;15985.54;16449.06;16803.87;18133.82;18730.00;15224.86;17178.54;19919.73;
Australia;AUS;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1810.60;1877.60;1854.64;1967.11;2131.38;2281.01;2343.82;2580.11;2724.13;2991.39;3304.84;3495.14;3949.37;4770.62;6482.83;7003.74;7486.59;7775.50;8252.66;9294.36;10208.65;11853.51;12778.93;11515.62;12421.47;11441.19;11391.66;11650.80;14284.52;17834.21;18248.94;18859.41;18623.79;17699.56;18129.40;20448.12;22021.78;23646.62;21479.11;20712.67;21870.42;19695.73;20301.84;23718.13;30836.73;34479.77;36595.71;41051.61;49701.28;42816.57;52147.02;62609.66;68078.04;68198.42;62558.24;56758.87;49918.79;53954.55;57273.52;55049.57;51868.25;60697.25;65099.85;
Austria;AUT;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;935.46;1031.82;1087.83;1167.00;1269.41;1374.53;1486.97;1569.67;1677.67;1825.39;2058.77;2380.98;2924.05;3890.72;4630.76;5285.62;5678.39;6810.63;8205.47;9793.77;10869.55;9385.25;9410.35;9537.41;8991.07;9172.10;13083.07;16392.77;17578.62;17468.95;21680.99;22410.91;24880.16;24081.53;25646.70;30325.85;29809.08;26705.48;27361.88;27183.48;24625.60;24558.76;26527.59;32294.05;36889.23;38417.46;40669.33;46915.34;51919.98;48153.32;46903.76;51442.28;48564.92;50731.13;51786.38;44195.82;45307.59;47429.16;51466.56;50067.59;48789.50;53517.89;52084.68;
